Parameter,LI,LI
District Full Name,LI - Light Industrial,
,Min,Max
LOT DIMENSIONS,,
Lot Area,No minimum,
Lot Coverage,,
Lot Width,No minimum,
Lot Width at Setback,,
Lot Depth,,
Width to Depth Ratio (%),n/a,
Max. Impervious Surface (%),,80%
,,
SETBACKS — PRINCIPAL STRUCTURE,,
Front,20,
Rear,10,
Side Interior,10,
Side Street,10,
Dist. Between Buildings,n/a,
,,
SETBACKS — ACCESSORY STRUCTURE,,
Front,20,
Rear,10,
Side Interior,10,
Side Street,10,
Dist. Between Buildings,n/a,
,,
STRUCTURE DIMENSIONS — PRINCIPAL,,
Height (max),,45
Stories (max),,
First Story Height (min),n/a,
Upper Story Height,,
,,
STRUCTURE DIMENSIONS — ACCESSORY,,
Height (max),,45
Stories (max),,
,,
BUILD-TO ZONE — PRINCIPAL,,
Front (%),n/a,
Side Street (%),n/a,
,,
BUILD-TO ZONE — ACCESSORY,,
Front (%),n/a,
Side Street (%),n/a,
,,
LOT ACCESS,,
Primary Street (Front Street),25,45
Secondary Street (Side Streets),25,35
Rear Alley,25,35
Shared Drive,25,45
,,
PARKING LOCATIONS,,
Front,Y,
Side Interior,Y,
Side Street,Y,
Rear,Y,
,,
PARKING SETBACKS,,
Front,10,
Side Interior,0,
Side Street,10,
Rear,0,
,,
,,
 ,,
